"O=C([C@@H]1CCCO1)N1CCC[C@@H]1CNCc1cnsn1","ZINC001034852513","CCAD"
"COCCNC[C@@H]1CN(C(=O)c2scnc2Cl)C[C@H]1C","ZINC001106988634","DDAD"
"Cc1nnccc1C(=O)N1CC[C@H](NC(=O)[C@@H](C)n2cncn2)C1","ZINC000937848992","EBAD"
"CCCCCCNCC1CCN(C(=O)[C@@H](C2CC2)N(C)C)CC1","ZINC001205461840","DFAD"
"CCOC(C)(C)C(=O)N1CCCC[C@H]([C@H]2CCOC2)C1","ZINC001551169029","CEAD"
"CNCc1cccc(NCc2ccc(F)c(C)c2)c1","ZINC000414868632","CGAD"
"C=CCNC(=O)CN1C[C@@H](NC(=O)COC)[C@@H](n2ccnn2)C1","ZINC001128622208","DAED"
"C#Cc1cncc(C(=O)N[C@@H]2CN(CC(N)=O)C[C@H]2OC)c1","ZINC001082116903","DAED"
"CCOC(=O)N1CCN(C(=O)CN2C[C@H](O)[C@@H](O)C2)CC1","ZINC000859449743","DAAD"
"CC1(N)CCN(C2CCN(C(=O)c3ccc(C#N)cc3)CC2)CC1","ZINC001173425187","EDED"
"C=CC[C@H]1CCCN(C(=O)C(=O)Nc2c(C)noc2C2CC2)C1","ZINC000658434855","DFED"
"O=C(Cn1ccccc1=O)NCc1cccc(O)n1","ZINC001320683061","CCAD"
"C[C@@H](NC(=O)NC1CC(C)(F)C1)c1cccnc1","ZINC000334571408","CEAD"
"CO[C@H](CNC(=O)Nc1nnn(C(C)C)n1)CC(C)C","ZINC000933455488","CDAD"
"CC(=O)NC1CC(CNC(=O)c2cnc3[nH]nnc3c2)C1","ZINC000992195185","CBAD"
"COc1ccc2c(c1)C[C@H](C(=O)N1CCOCC13CC3)CO2","ZINC000338527306","DDAD"
"CCOCCOCC(=O)N1CC[C@@H](N[C@@H](C)c2nnnn2C)C1","ZINC001188180022","EBAD"
"CC(C)n1ccc(C(=O)N[C@H](C)CN(C)C(=O)c2ccn(C)n2)n1","ZINC001425085307","EDAD"
"CCN1CCOC[C@H]1C(=O)NC[C@H](O)CN(C)C(=O)c1cn[nH]c1","ZINC001370960810","EAAD"
"CC(C)c1cccc(O[C@@H](C)C(=O)N2CCN(C(=O)N(C)C)CC2)c1","ZINC000549974262","EEAD"
"Cc1nc2ccccc2n1CC(=O)N[C@@H]1CC[C@@H](CNCC2CC2)C1","ZINC000994958124","EFAD"
"C[C@@H](CN1CCOCC1)C(=O)N1CC[C@@H](N(C)CC#N)C1","ZINC000980412448","CCED"
"Cc1nc([C@H]2CN(C(=O)[C@@H](N)C(F)(F)F)CCO2)n[nH]1","ZINC000353484563","CBAD"
"CCOC1CCN(C(=O)NCCSc2ccc(C)cc2)CC1","ZINC000050096138","DGAD"
"C=C1CCN(c2nnc([C@@H]3C[C@@H]3C(C)(C)C)n2C)CC1","ZINC001338857142","CGED"
"CC[C@@H]1CCN(C(=O)NCc2nc(Cc3ccccc3F)no2)[C@H]1C","ZINC001685261364","EGAD"
"Cc1ncc2n1C[C@@H](C(=O)N1CC[C@]3(CCN(CCCF)C3)C1)CC2","ZINC001041596426","EEAD"
"C=C[C@@H](NCCC1Cc2ccccc2C1)C(=O)OC","ZINC000619703953","CEED"
"CO[C@@H](CNCCCNC(=O)c1sccc1C)C1CCC1","ZINC001154215067","DFAD"
"O=C(c1ccc([N+](=O)[O-])[nH]1)N1CC[C@H]2CCCC[C@@H]2C1","ZINC001251141151","CFBD"
"CC1=C(C(=O)NCc2nc(O)n[nH]2)[C@@H](C)n2ncnc2N1C","ZINC000798973439","DBAD"
"CCCn1nccc1C(=O)N[C@@H](C)[C@@H]1CCN(C(=O)CC)C1","ZINC000958980597","DDAD"
"C[C@H](CNC(=O)c1ccnc(O)c1)CNc1cccc(F)n1","ZINC001103910608","DDAD"
"COCCCC(=O)OCC(=O)c1c(N)n(C)c(=O)n(C)c1=O","ZINC000051657660","DAAD"
"Cn1nnc2cccc(C(=O)N[C@H]3C[C@H](NCCF)C3)c21","ZINC001021152890","CCAD"
"C[C@@H](CC(=O)N(C)C1CC(C)(C)C1)c1ccncc1","ZINC000655337346","CGAD"
"CC(C)C[C@]1(C(=O)N[C@@H]2CCC[C@@H]2C(=O)O)CCNC1=O","ZINC001588860625","CCAD"
"CCC(=O)N[C@@H](C)CCNC(=O)c1cccc2c1CCCC2","ZINC001076664594","DFAD"
"CCCN[C@@H]1CCC[C@H](NC(=O)CN2CCNC(=O)C2)C1","ZINC000981267787","CBAD"
"CCCCCCN(C)[C@H]1CCN(C(=O)COC[C@@H]2CCCO2)C1","ZINC001194522970","EEAD"
"COc1ccc(-c2cccn(Cc3ccc(F)cc3)c2=O)cc1N","ZINC001244896581","DGAD"
"C=CC(C)(C)C(=O)N1CC[C@H](CCNC(=O)C2(C(F)F)CC2)C1","ZINC001060068189","EFED"
"CC[C@@H](C)CC[C@@H](O)CC(=O)N(C)CCOc1ccccc1C","ZINC001136026932","DGAD"
"Cc1nocc1CN1CC[C@@H](NC(=O)[C@@H]2CNC(=O)N2)C1","ZINC001015634806","CBAD"
"CC#CCNC(=O)C(=O)Nc1ccc(C(=O)NCC(=O)O)cc1","ZINC001602949213","DBED"
"CC[C@H]1CC[C@H](C(=O)N[C@H]2C[C@@H](NC(=O)c3cc[nH]c3C)C2)CC1","ZINC000974001208","EFAD"
"CN(C[C@H]1COCCO1)C(=O)C(=O)N1CCO[C@H](C#N)C1","ZINC001328170566","CAED"
"CC[C@H](O)CNC(=O)C[C@@H](C)c1ccc(F)cc1F","ZINC000292490101","CEAD"
"C[C@@H](CNCc1nnnn1C1CC1)N(C)C(=O)C1=COCCC1","ZINC001419656951","DCAD"
"Cc1cnc(CNCc2nc(C(C)(C)C)cs2)o1","ZINC000231651584","CGAD"
"CNC(=O)Cn1nc(NC(=O)[C@H]2OCC[C@H]2N)cc1C","ZINC001578560370","CAAD"
"CC[C@H](CNC(C)=O)NC(=O)[C@@H](C)c1cnn(C)c1","ZINC001704619303","CCAD"
"CC[C@@H](NC(=O)CN1C(=O)CCc2ccccc21)[C@H](O)C(F)(F)F","ZINC000270826496","EDAD"
"CN(C)C(=O)c1cncc(-c2cccc(F)c2O)c1","ZINC001242351549","CEAD"
"C[C@H](NS(C)(=O)=O)C(=O)N1C[C@H]2COCC[C@@]2(C(=O)O)C1","ZINC001593347167","DAAD"
"CC(C)n1cc(CN2CC(CNC(=O)[C@H]3[C@@H]4CCC[C@@H]43)C2)nn1","ZINC001031597645","DDAD"
"C[C@@H]1C[C@@H](C(=O)NCCN(CCO)C(=O)C(N)=O)CO1","ZINC001058646344","CAAD"
"CC(=O)N(C)CC(=O)N1CCO[C@@H]2CN([C@H](C)c3ccccc3)C[C@@H]21","ZINC001217316257","EDAD"
"C[C@@H]1CC(C(=O)N2CCC(NC(=O)c3ccccn3)CC2)C[C@@H](C)C1","ZINC000368005773","EFAD"
"O=C(C[C@@H]1COC(=O)C1)N1C[C@@H](NC(=O)c2cnsn2)[C@@H](O)C1","ZINC000961715860","EAAD"
"CC[C@@H](C(N)=O)N1CC(O)(CNC(=O)c2cc(C(N)=O)cs2)C1","ZINC001421505319","EAAD"
"CNC(=O)C(=O)N1CCn2c(C(=O)NCC(F)F)cnc2C1","ZINC001271441779","DAAD"
"Cc1nn[nH]c1C(=O)N1C[C@H](C)[C@H](CNC(=O)CS(C)(=O)=O)C1","ZINC001053127275","EAAD"
"COCc1sccc1C(=O)NC[C@H](C)C(=O)O","ZINC000630137930","CDAD"
"Cn1cc(C(=O)N[C@H](CO)c2cccnc2)c(=O)n(C)c1=O","ZINC001362900499","DAAD"
"CCc1ccc(S(=O)(=O)N2CCC[C@@](C)(O)CC2)cc1","ZINC000230371036","CEAD"
"Cc1nc(C(C)C)ncc1C(=O)NCC[C@@H]1CCO[C@@H](C)C1","ZINC000879453046","DFAD"
"CN(C[C@H]1COCCO1)C(=O)C(=O)N[C@@H]1CCC(=O)N(C)C1=O","ZINC001334227239","EAAD"
"C[C@H](O)CN1CC[C@H](N(C)C(=O)c2ccc(C(N)=O)[nH]2)C1","ZINC001033425921","CBAD"
"Cc1ccc(-c2nc(C(C)C)nc(N(C)C)n2)cc1CO","ZINC001242383849","CFAD"
"COc1ccccc1C1(C(=O)N2CCSCC2)CCCCC1","ZINC000559074551","DGAD"
"C#Cc1cccnc1N1C[C@H]2CCC[C@]2(NC(=O)OC(C)(C)C)C1","ZINC000856793239","EFED"
"CCC(CC)c1cc(C(=O)NC2CN([C@H](C)C(N)=O)C2)on1","ZINC001031064843","DCAD"
"CN(C)C1(CNC(=O)N[C@H]2CCCN3CCCC[C@@H]23)CCCCC1","ZINC000654349129","EFAD"
"O=C(N[C@H]1CCc2ccccc21)[C@@H]1CC12CCNCC2","ZINC000070252818","CEAD"
"CCn1c(N)c(C(=O)CN(C)[C@H](C)CC#N)c(=O)[nH]c1=O","ZINC000156916574","CBED"
"Cc1nnc(CN2CC[C@H](NC(=O)c3ccnnc3)C2)s1","ZINC001015748249","DCAD"
"Cc1cc(C(=O)OCc2c(F)cccc2F)nn1C(C)C","ZINC000835276250","CGAD"
"O=C(NCC1CCNCC1)[C@@H]1C[C@]12CCCNC2","ZINC000655411367","CCAD"
"CCOC(=O)N1CC[C@@H](NC(=S)Nc2ccc(F)cc2)C1","ZINC000495382219","DEAD"
"CC(C)(F)C(=O)N[C@H]1C[C@H](NC(=O)[C@]23C[C@@H]2CCCC3)C1","ZINC000972891431","CEAD"
"CCN1C[C@@H]2CCN(C(=O)Cn3ncn(C)c3=O)CC[C@@H]2C1","ZINC000946653957","DBAD"
"CC1(C)CN(C(=O)c2ccccc2[N+](=O)[O-])C1(C)C","ZINC001116183754","CFBD"
"Cc1cnc(CN2CC3(C[C@@H]3C(=O)N3CC=CC3)C2)s1","ZINC001277086128","CDAD"
"COCC(=O)NCC1(O)CN(C(=O)c2cn[nH]c2)C1","ZINC001041151839","CAAD"
"CCC(=O)N1C[C@H]2C[C@@H]3CN(Cc4nc(N(C)C)no4)C[C@]2(C1)O3","ZINC001070741542","ECAD"
"Cc1cc(Cl)c(O[C@@H](C)CN2CCOCC2)c(Cl)c1","ZINC001231222274","DGAD"
"CC(C)(C)OCCCCOC(=O)[C@H]1Cc2ccccc2O1","ZINC000789005192","CGAD"
"Cc1cc([C@@](C)(O)CNC(=S)N[C@H](C)c2cccs2)c(C)o1","ZINC000741483724","EGAD"
"Cc1c(C(=O)NC[C@H](O)CNC(=O)Cn2ncnn2)cnn1C","ZINC001376496630","DAAD"
"COc1cc(Cl)ccc1C(=O)NC[C@@H](O)CC(C)(C)C","ZINC000172306277","CFAD"
"C[C@@H](NC(=O)OC(C)(C)C)[C@@H]1CCN(Cc2cnn(C)c2)C1","ZINC000495069532","DEAD"
"CCCC(=O)N1CCC[C@H](N(C)C(=O)c2ccncc2CC)CC1","ZINC000967596855","EFAD"
"Cc1cc(C(=O)N[C@H]2CC[C@@H](CNC(=O)c3cccc(F)c3)C2)n[nH]1","ZINC001015354481","EEAD"
"CO[C@@H]1CS(=O)(=O)C[C@H]1NC(=O)C(=O)NC[C@@H]1CCCN1","ZINC000659715262","DAAD"
"C[C@@H](NS(=O)(=O)c1ccccc1)c1nc(C2CCC2)no1","ZINC000634666383","DEAD"
"N#CCCN(CCC#N)S(=O)(=O)c1cc(Cl)c(O)c(Cl)c1","ZINC001260874530","EFED"
"NC(=O)c1csc(CNC(=O)C2=NN(CCO)C(=O)CC2)n1","ZINC000855873039","EAAD"
"C#CCN[C@@H](C)[C@H]1CN(C(=O)Cc2cnoc2)CCO1","ZINC001755445608","CCED"
"Cc1ccc(CN[C@H](c2cccs2)c2nc[nH]n2)cc1","ZINC000340178982","CGAD"
"C[C@@H]1CN(C(=O)c2cccc(NC(=O)N(C)C)c2)C[C@H]1CO","ZINC000191824018","DDAD"
"Cc1cnn(CC(=O)N(C)C[C@H](O)CNC(=O)c2nocc2C)c1","ZINC001382939935","EBAD"
"CCc1c[nH]c2ncnc(N3CC[C@H](OC)[C@H](C)C3)c12","ZINC000894064277","CEAD"
"COC(=O)[C@@H]1C[C@@H](C(=O)O)CCN1C(=O)CN(C)Cc1ccccc1","ZINC001610171849","ECAD"
"Nc1ncccc1CN1CCN2C(=O)C(=O)NC[C@H]2C1","ZINC000329669200","CAAD"
"CCc1nn(C)cc1C(=O)N[C@H]1CCN([C@@H](C)C(=O)N(CC)CC)C1","ZINC001367009256","EDAD"
"Cc1cccc(C)c1CNC[C@@H]1CCCN1C(=O)c1ccc[nH]1","ZINC001044920043","DGAD"
"C#CCCN1CCC[C@@H]([C@H](C)NC(=O)c2n[nH]c3ccccc32)C1","ZINC001025616294","DEED"
"CN(C)c1nccc(CNCc2cn(Cc3ccccc3)nn2)n1","ZINC000893302114","DDAD"
"O=C([C@@H]1CCC(=O)C1)N1CCCCc2ccc([N+](=O)[O-])cc21","ZINC000912653466","DFBD"
"O=C(O)COCC(=O)N1CCC[C@H](c2nc(O)n[nH]2)C1","ZINC001602076387","CBAD"
"CC(C)N1CCC[C@@H]1C(=O)N1CC(NC(=O)c2cnsn2)C1","ZINC000990333423","DCAD"
"CC(C)(F)C(=O)N1CC(CNC(=O)CCn2cnnn2)C1","ZINC001450686057","CBAD"
"Cc1cc(Cl)cnc1NC(=O)[C@@H]1COc2ccccc21","ZINC000336086570","CGAD"
"CN(C)C(=O)[C@H]1CC[C@H](CNC(=O)N2CCN(C3CNC3)CC2)O1","ZINC001578397527","EAAD"
"C[C@@H]1CCC[C@@](CNC(=O)C(=O)N2CCCC[C@H]2C)(N(C)C)C1","ZINC000343033283","DEAD"
"Cc1sccc1C(=O)NCCN(C(=O)C1[C@@H]2CCC[C@@H]12)C1CC1","ZINC001497436234","EFAD"
"CCOC(=O)CO/N=C(\C(=O)N/C(C)=C\C(C)=O)c1cc[nH]n1","ZINC001177263173","DCED"
"Cc1ccc(C)n1[C@@H](C)C(=O)NCCCNC(C)C","ZINC001176942211","CEAD"
"C[C@H](CN(C)[C@@H](C)c1ccc(F)c(Cl)c1)NC(=O)c1ccon1","ZINC001268725423","EGAD"
"Cc1nnc(N(C)C(=O)C2CCC(OC(F)F)CC2)s1","ZINC000427727468","DFAD"
"CC[C@@H](C#N)NC(=O)[C@@H](C)CCCc1ccccc1","ZINC000180158762","CGED"
"CN(CCNC(=O)CC1CC1)C(=O)Cn1cnc(C(N)=O)n1","ZINC001448685139","DAAD"
"C[C@H](C(=O)N(C)[C@@H]1CCN(C(=O)CC2CCCCC2)C1)C1CCC1","ZINC000936539101","EGAD"
"C[C@@H](C(=O)NC[C@H]1C[C@@H](NC(=O)c2ncoc2C2CC2)C1)C1CC1","ZINC001396519751","EEAD"
"Cc1cc(C)cc([C@@H]2CCN(CCCCC(=O)O)C2)c1","ZINC000575187974","CGAD"
"O=C(NC1CN(C(=O)C2CC3(C2)NC(=O)NC3=O)C1)[C@H]1CC=CCC1","ZINC000990215450","EBAD"
"C[C@H]1CN(C(=O)CCc2cnn[nH]2)C[C@H]1NC(=O)C1(CN(C)C)CC1","ZINC001072764293","ECAD"
"Cc1nnsc1CNC[C@@H]1C[C@H](C)N(C(=O)CC(N)=O)C1","ZINC000980448494","DCAD"
"O=C([C@H]1[C@@H]2COC[C@@H]21)N1C[C@@H]2CC[C@@H](C1)N2[C@H]1CCC(=O)NC1=O","ZINC001029430694","EBAD"
"Cn1ncc2cc(C(=O)NCCCCCN3CCCC3)cnc21","ZINC000563559916","DDAD"
"C/C=C/C[C@@H](CO)NC(=O)C(=O)Nc1ccc(OC)nc1C","ZINC000352490710","DCAD"
"C=CCc1cc(C)cc(OC)c1OCC(=O)NCC1CC1","ZINC000438292016","CFED"
"O=C(Cc1cncs1)N1CC[C@@]2(CCN(CCCC3CCC3)C2)C1","ZINC001041384640","EGAD"
"COc1cnc(NC(=O)NCC2(C#N)CC2)s1","ZINC000554370313","CDED"
"C=C1CCC(C(=O)N(CCOC)Cc2cccnc2)CC1","ZINC000888864852","CFED"
"O=C(O)[C@@H](O)CNC(=O)[C@@H]1COCCN1CC(F)(F)F","ZINC001608459703","DAAD"
"CCSCc1ccnc(NC(=O)[C@H]2C[C@H]2C)c1","ZINC000153553804","CFAD"
"Cc1cnc(CN(C)[C@H]2CCCN(C(=O)C(C)(C)C3CCC3)C2)cn1","ZINC001027510536","EGAD"
"Cc1ccccc1[C@@H]1C[C@H]1C(=O)N(C)CCCN(C)C(=O)C1CCC1","ZINC001066592919","EGAD"
"O=C(O)c1cn(CCNC(=O)CSC2CC2)nn1","ZINC001608355012","CBAD"
"CC(C)(C)CC(=O)N[C@H]1CCN(CC(=O)NC(N)=O)C[C@@H]1O","ZINC001099671598","DBAD"
"CC[C@H](C)NC(=O)[C@@H](C)N1CC(CNC(=O)c2cccn2C)C1","ZINC001421099996","DCAD"
"C=CCNC(=O)[C@@H](C#N)C(=O)c1c[nH]c(C(=O)OC)c1","ZINC000815908758","CCED"
"C[C@]1(NC(=O)Nc2ccnn2CC2CC2)CCOC1=O","ZINC001650506974","CDAD"
"CC(C)c1ccc(C(=O)N(C)C[C@H]2CCN2CCC2CC2)c(O)n1","ZINC001085858069","EFAD"
"CO[C@@H]([C@@H](C)N[C@@H](C)c1nc2c(s1)CCCC2)C1CC1","ZINC000453360079","CGAD"
"CCN(Cc1cccc(F)c1)C(=O)CNC(C)(C)CC(=O)O","ZINC000829722558","DEAD"
"CCOc1ccc(-c2ccc3nc[nH]c3n2)c(F)c1F","ZINC001241174562","CGAD"
"CCCc1ccc(CN[C@]2(C(=O)O)CC[C@@H]3C[C@H]32)cc1","ZINC001776832940","CFAD"
"CC[C@H](CC(C)C)C(=O)N/C=C/C(=O)C(F)(F)F","ZINC001181842609","CFED"
"C=C[C@@H]1OCC[C@H]1C(=O)N(CCc1ccc(F)cc1)C1CC1","ZINC000449921733","DFED"
"C[C@H](NCCN1C(=O)NC2(CCCC2)C1=O)c1ccc([N+](=O)[O-])cc1","ZINC000294952404","EEBD"
"C[C@H]1C(=O)NCCN1C(=O)Nc1cc(F)cc(F)c1Br","ZINC000190659395","EEAD"
"O=C(N[C@H]1CCn2cncc2C1)C1=CCCCCC1","ZINC000623303428","CEAD"
"C[C@H]1C(=O)CC[C@@H]1CC(=O)OCCN(C)c1ccccc1","ZINC000796230489","CFAD"
"COc1cccc(CCNC(=O)Nc2cc(C)nn2C(C)(C)C)c1","ZINC000620423580","EGAD"
"O=C(CCn1cnnn1)N[C@@H]1CCN(CCOCC(F)F)C[C@H]1O","ZINC001100045785","EAAD"
"CC(C)=CCN1C(=O)C[C@@]2(CCCN(Cc3cnc(C)n3C)C2)C1=O","ZINC001272772736","EEAD"
"CC1(C(=O)N2CC(NC(=O)[C@H]3CCC(=O)N3)C2)CCC1","ZINC000990500169","CBAD"
"Cn1ncc(C(=O)N2CC3(C2)CCN(Cc2cnnn2C)C3)n1","ZINC001073056290","DBAD"
"CCCn1nnnc1CN1CC[C@@H](NC(=O)CC(=O)NC)[C@H](O)C1","ZINC001099792374","EAAD"
"CC(=O)N1CC(C(=O)NC2CCN(C(=O)c3cncnc3O)CC2)C1","ZINC000947168223","EBAD"
"C[C@@H]1C[C@@H](CNC(=O)N2CC3CCC2CC3)[C@@H](C)O1","ZINC001117944500","CEAD"
"C=CCn1cc(C(=O)N2CC(O)(CNC(=O)c3[nH]nnc3C)C2)nn1","ZINC001044370639","EAED"
"O=C(Cn1nccn1)NCC1(O)CN(C(=O)c2ccco2)C1","ZINC001043212016","DAAD"
"O=C(N[C@H]1CC12CCCCC2)c1cc(F)ccc1F","ZINC000180638301","CGAD"
"NC(=O)[C@@H]1C[C@@H]1C(=O)N1CC(CNC(=O)[C@H]2CCOC2)C1","ZINC001001135680","CAAD"
"COC[C@@H](NS(=O)(=O)C1CCCCC1)C1CC1","ZINC000441862934","CDAD"
"CC[C@@H](c1nnc(N(CCO)C2CC2)n1C1CC1)c1ccccc1","ZINC000565118022","EGAD"
"CC(=O)N1CCCC[C@@H]1[C@@H](C)NC(=O)c1c(C)onc1C1CC1","ZINC000953510064","DEAD"
"CO[C@@H](C)CN1CCCC[C@H]1CNC(=O)CC1(C)CC1","ZINC001370867699","CEAD"
"C=CC(C)(C)C(=O)NC1CCN(CC[C@@H]2CCCO2)CC1","ZINC001228631132","CEED"
"C=C(C)CN(CC)C(=O)NCC1CCN(C(=O)OC(C)(C)C)CC1","ZINC000102027883","EGED"
"C#CCCCC(=O)N1C[C@H](O)[C@H](CNC(=O)c2cnnc(C)c2)C1","ZINC001081431908","ECED"
"Cc1cc(C(=O)NC[C@@H](O)CNC(=O)c2ccc(F)cc2C)n(C)n1","ZINC001389071308","ECAD"
"O=C(Cn1cncn1)NC1CN(C(=O)C[C@@H]2COC(=O)C2)C1","ZINC001000102906","DAAD"
"CN(C(=O)CC(N)=O)C1CC(Nc2nccnc2-c2nn[nH]n2)C1","ZINC001578864909","EAAD"
"C=C(Cl)CN1CCO[C@H](CNC(=O)c2cccc(C3CC3)c2)C1","ZINC001035616789","EFED"
"O=C(N1C[C@@H]2C[C@]2(c2ccccc2)C1)C1(C(F)F)CCC1","ZINC000927321272","CGAD"
"C#Cc1cncc(C(=O)N[C@@H]2CCC[C@H]([S@@](C)=O)C2)c1","ZINC000857308784","CDED"
"COCCCN1CC[C@@H]2CN(C(=O)c3cccc4cc[nH]c43)[C@@H]2C1","ZINC001221823599","EEAD"
"CCOCCn1cc(C(=O)N[C@@H](CCO)C(F)(F)F)cn1","ZINC000857721553","DCAD"
"O=C(NCCCCCCO)Nc1ccc(N2CCCC2=O)cc1","ZINC000775970918","DEAD"
"C[C@@H]1CCC[C@@H]1NCC1CCN(CC(F)(F)F)CC1","ZINC000436414669","CGAD"
"O=C(CCOCC(F)F)N1CCOC[C@@H]1[C@@H]1CCCCC1=O","ZINC000365054265","DDAD"
"CN(C)C/C=C/C(=O)N(C)Cc1ccccc1F","ZINC000264626463","CDAD"
"C[C@H]1CN(C(=O)C(N)=O)C[C@@H]1NC(=O)CCn1cnnn1","ZINC001072639301","CAAD"
"N#CCc1cc(C2=CCCN(Cc3ccccc3)C2)ccn1","ZINC001240386433","CGED"
"COCOc1ccc(-c2ccc(OC)nc2F)cc1","ZINC001243212958","CFAD"
"Cc1c[nH]nc1C(=O)N[C@H]1CN([C@@H](C)C(=O)N(C)C)CC1(C)C","ZINC000974582240","DCAD"
"CCC[C@@H](C)C(=O)N1CCC(CN(C)Cc2nocc2C)CC1","ZINC001753362024","DGAD"
"O=C(C#CC1CC1)NCC1CC(NCCCN2CCCC2=O)C1","ZINC001100316076","DCED"
